"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Minnesota",140,"Lyon",0,0,0,117,61,3
"Minnesota",97,"Mille Lacs",0,0,0,119,0,0
"Minnesota",100,"Olmsted",0,0,0,113,47,0
"Minnesota",155,"Ramsey",1,0,0,0,114,7
"Minnesota",108,"Saint Louis",0,0,0,201,22,0
"Minnesota",84,"Scott",0,0,0,105,65,0
"Minnesota",108,"Stearns",0,0,0,118,54,0
"Minnesota",84,"Washington",0,0,0,121,0,0
"Minnesota",57,"Winona",0,0,0,0,17,0
"Minnesota",101,"Wright",0,0,0,112,45,0
"Mississippi",88,"Bolivar",0,0,0,96,173,0
"Mississippi",143,"DeSoto",0,0,0,102,171,0
"Mississippi",97,"Forrest",0,0,0,0,271,0
"Mississippi",84,"Hancock",0,0,0,103,170,0
"Mississippi",97,"Harrison",0,0,0,104,169,0
"Mississippi",84,"Hinds",0,1,0,59,214,0
"Mississippi",93,"Jackson",0,0,0,110,163,0
"Mississippi",93,"Lauderdale",0,0,0,210,0,0
"Mississippi",64,"Lee",0,0,0,211,0,0
"Mississippi",80,"Yalobusha",0,0,0,232,0,0
"Missouri",84,"Andrew",0,0,0,89,0,0
"Missouri",67,"Boone",0,0,0,92,0,0
"Missouri",256,"Buchanan",0,0,0,0,127,21
"Missouri",74,"Callaway",0,0,0,104,0,0
"Missouri",77,"Cass",0,0,0,78,68,0
"Missouri",98,"Cedar",0,0,0,71,77,0
"Missouri",128,"Clay",0,0,0,86,60,0
"Missouri",74,"Clinton",0,0,0,91,0,0
"Missouri",160,"Greene",1,0,0,62,82,3
"Missouri",293,"Jackson",0,3,23,0,96,29
"Missouri",162,"Jasper",1,0,0,75,0,73
"Missouri",77,"Jefferson",0,0,0,55,89,4
"Missouri",90,"Lincoln",0,0,0,91,0,0
"Missouri",97,"Monroe",0,0,0,143,0,5
"Missouri",61,"Perry",0,0,0,99,0,0
"Missouri",84,"Saint Charles",0,0,0,92,0,0
"Missouri",93,"Saint Louis",0,0,40,96,12,0
"Missouri",71,"Sainte Genevieve",0,0,0,99,0,0
"Missouri",738,"St. Louis City",0,1,3,33,99,15
"Missouri",43,"Stoddard",0,0,0,0,12,0
"Missouri",41,"Taney",0,0,0,0,17,0
"Montana",48,"Beaverhead",0,0,0,0,175,0
"Montana",95,"Custer",0,0,1,152,28,0
"Montana",162,"Dawson",1,0,0,0,181,0
"Montana",87,"Fergus",0,0,0,168,12,0
"Montana",80,"Flathead",0,0,0,157,59,7
"Montana",62,"Gallatin",0,3,43,0,180,0
"Montana",117,"Glacier",0,0,0,0,167,0
"Montana",157,"Hill",1,0,0,0,149,0
"Montana",9,"Lake",0,0,0,0,20,0
"Montana",93,"Lewis and Clark",0,1,0,101,80,0
"Montana",92,"Lincoln",0,0,0,0,176,0
"Montana",82,"Missoula",0,0,0,103,78,0
"Montana",168,"Phillips",1,0,0,0,171,0
"Montana",21,"Powell",0,0,0,0,17,0
"Montana",80,"Ravalli",0,0,0,0,174,0
"Montana",165,"Richland",1,0,0,139,42,0
"Montana",38,"Roosevelt",0,0,0,0,17,0
"Montana",21,"Rosebud",0,0,0,0,18,0
"Montana",31,"Sanders",0,0,0,0,0,181
"Montana",31,"Sheridan",0,0,0,0,19,0
"Montana",77,"Silver Bow",0,0,0,0,173,8
"Montana",89,"Teton",0,0,0,0,173,0
"Montana",85,"Yellowstone",0,0,6,120,55,0
"Nebraska",64,"Cass",0,0,0,0,0,288
"Nebraska",137,"Douglas",0,1,0,141,124,8
"Nebraska",131,"Gage",0,0,0,0,292,0
"Nebraska",118,"Hall",0,0,0,122,161,0
"Nebraska",115,"Knox",0,0,0,234,0,0
"Nebraska",87,"Lancaster",0,0,0,25,78,0
"Nebraska",134,"Sarpy",0,0,0,0,266,0
"Nebraska",64,"Scotts Bluff",0,0,0,0,249,0
"Nebraska",53,"Thomas",0,0,0,0,19,0
"Nebraska",132,"Washington",0,0,0,0,248,0
"Nevada",80,"Carson City",0,0,0,128,51,0
"Nevada",77,"Churchill",0,0,0,174,0,0
"Nevada",138,"Clark",0,1,0,203,52,18
"Nevada",57,"Douglas",0,0,0,0,176,0
"Nevada",160,"Elko",1,0,0,0,1,151
"Nevada",84,"Lyon",0,0,0,180,0,0
"Nevada",128,"Nye",0,0,0,0,0,181
"Nevada",112,"Washoe",0,1,0,232,38,3
"Nevada",105,"White Pine",0,0,0,218,1,0
"New Hampshire",92,"Belknap",0,0,0,114,159,0
"New Hampshire",115,"Cheshire",0,0,0,124,149,0
"New Hampshire",119,"Coos",0,94,0,180,0,0
"New Hampshire",113,"Grafton",0,0,0,157,116,0
"New Hampshire",123,"Hillsborough",0,1,0,152,121,0
"New Hampshire",90,"Merrimack",0,0,0,122,0,0
"New Hampshire",115,"Rockingham",0,1,0,143,130,0
"New Jersey",105,"Atlantic",0,0,0,109,72,0
"New Jersey",108,"Bergen",0,2,37,74,67,0
"New Jersey",168,"Camden",1,2,2,95,81,0
